usdot_number,prefix,docket_number,legal_name,dba_name,city,state
1682589OOS,MC,618277,5TH ELEMENT COACH SERVICES INC,,DENVER,CO
2408569,MC,830412,6 UP TRUCKING LLC,,PENROSE,CO
4169620,MC,1603551,633 CONSTRUCTION LCC,"633 CONSTRUCTION SERVICES|633 CONSTRUCTION",COLORADO SPRINGS,CO
,MC,1205976,651 PROPERTIES LLC,,LOVELAND,CO
,MC,915220,655 COMPANY LLC,655 COATINGS,COLORADO SPRINGS,CO
1979582,MC,701433,67TH INC,67TH LOGISTICS INC,DENVER,CO
3417304,MC,1103664,6C TRUCKING LLC,,SEVERANCE,CO
3417304,FF,38120,6C TRUCKING LLC,,SEVERANCE,CO
4140718,MC,1587537,6FOOT TRANSPORT LLC,,DENVER,CO
1426565,MC,583104,"6G TRUCKING, LLC",,BRUSH,CO
3903108,MC,1438519,7 C TRANSPORTS LLC,,MEAD,CO
1699213,MC,623773,7 C'S TRANSPORTATION LLC,,CANON CITY,CO
2781522,MC,926264,7 CARS TRANSPORT LLC,,AURORA,CO
2781522,MC,1473537,7 CARS TRANSPORT LLC,,AURORA,CO
3339158,MC,1065454,"7 DAYS TRANSPORT, LLC",,COMMERCE CITY,CO
637298,MC,479860,"7 HILLS TRUCKING, INC.",,LITTLETON,CO
4108935,MC,1597632,7 MULE WAGON LLC,,RIFLE,CO
3894239,MC,1432675,7 SKY LOGISTICS LLC,,DENVER,CO
843684,MC,375601,"7-S TRANSPORTATION, LLC.",,LUCERNE,CO
3246461,MC,1010409,70 WEST TRUCKING LLC,,PARKER,CO
1021980,MC,582876,707 LIVESTOCK & TRANSPORT INC,,PENROSE,CO
3365086,MC,1078222,710 LOGISTICS LLC,,GREELEY,CO
3843527,MC,1398557,718 TRUCKING LLC,,AURORA,CO
2522482,MC,875834,720 TRUCKING LLC,,HENDERSON,CO
3611100,MC,1230043,7230 HAULING LLC,,DENVER,CO
,FF,25253,727 TRUCKING LLC,,COMMERCE CITY,CO
3114618,MC,102640,727 TRUCKING LLC,,COMMERCE CITY,CO
